source,target,relation,relation_zh,color
x38,E,State of,状态所属,#64748b
F,x39,State,状态,#64748b
x39,F,State of,状态所属,#64748b
G,x40,State,状态,#64748b
x40,G,State of,状态所属,#64748b
H,x41,State,状态,#64748b
x41,H,State of,状态所属,#64748b
Stream 1,Stream 6,Output,输出,#059669
Stream 2,Stream 6,Output,输出,#059669
Stream 3,Stream 6,Output,输出,#059669
Stream 4,Stripper,Output,输出,#059669
Stream 8,Stream 6,Output,输出,#059669
Stream 6,Reactor,Output,输出,#059669
Reactor,Stream 7,Output,输出,#059669
Stream 7,Condenser,Output,输出,#059669
Condenser,Stream 14,Output,输出,#059669
Stream 14,Separator,Output,输出,#059669
Separator,Stream 8,Output,输出,#059669
Separator,Stream 9,Output,输出,#059669
Separator,Stream 10,Output,输出,#059669
Stream 8,Compressor,Output,输出,#059669
Compressor,Stream 6,Output,输出,#059669
Stream 5,Stream 6,Output,输出,#059669
Stream 10,Stripper,Output,输出,#059669
Stripper,Stream 11,Output,输出,#059669
Stripper,Stream 5,Output,输出,#059669
Stripper Steam,Stripper,Output,输出,#059669
Stream 12,Reactor,Output,输出,#059669
Stream 13,Condenser,Output,输出,#059669
Stream 1,A,Contain,包含,#d97706
A,Stream 1,Contained by,被包含,#d97706
Stream 2,D,Contain,包含,#d97706
D,Stream 2,Contained by,被包含,#d97706
Stream 3,E,Contain,包含,#d97706
E,Stream 3,Contained by,被包含,#d97706
Stream 4,A,Contain,包含,#d97706
A,Stream 4,Contained by,被包含,#d97706
Stream 4,B,Contain,包含,#d97706
B,Stream 4,Contained by,被包含,#d97706
Stream 4,C,Contain,包含,#d97706
C,Stream 4,Contained by,被包含,#d97706
Stream 5,A,Contain,包含,#d97706
A,Stream 5,Contained by,被包含,#d97706
Stream 5,B,Contain,包含,#d97706
B,Stream 5,Contained by,被包含,#d97706
Stream 5,C,Contain,包含,#d97706
C,Stream 5,Contained by,被包含,#d97706
Stream 5,D,Contain,包含,#d97706
D,Stream 5,Contained by,被包含,#d97706
Stream 5,E,Contain,包含,#d97706
E,Stream 5,Contained by,被包含,#d97706
Stream 5,F,Contain,包含,#d97706
F,Stream 5,Contained by,被包含,#d97706
Stream 5,G,Contain,包含,#d97706
G,Stream 5,Contained by,被包含,#d97706
Stream 5,H,Contain,包含,#d97706
H,Stream 5,Contained by,被包含,#d97706
Stream 6,A,Contain,包含,#d97706
A,Stream 6,Contained by,被包含,#d97706
Stream 6,B,Contain,包含,#d97706
B,Stream 6,Contained by,被包含,#d97706
Stream 6,C,Contain,包含,#d97706
C,Stream 6,Contained by,被包含,#d97706
Stream 6,D,Contain,包含,#d97706
D,Stream 6,Contained by,被包含,#d97706
Stream 6,E,Contain,包含,#d97706
E,Stream 6,Contained by,被包含,#d97706
Stream 6,F,Contain,包含,#d97706
F,Stream 6,Contained by,被包含,#d97706
Stream 7,A,Contain,包含,#d97706
A,Stream 7,Contained by,被包含,#d97706
Stream 7,B,Contain,包含,#d97706
B,Stream 7,Contained by,被包含,#d97706
Stream 7,C,Contain,包含,#d97706
C,Stream 7,Contained by,被包含,#d97706
Stream 7,D,Contain,包含,#d97706
D,Stream 7,Contained by,被包含,#d97706
Stream 7,E,Contain,包含,#d97706
E,Stream 7,Contained by,被包含,#d97706
Stream 7,F,Contain,包含,#d97706
F,Stream 7,Contained by,被包含,#d97706
Stream 7,G,Contain,包含,#d97706
G,Stream 7,Contained by,被包含,#d97706
Stream 7,H,Contain,包含,#d97706
H,Stream 7,Contained by,被包含,#d97706
Stream 8,A,Contain,包含,#d97706
A,Stream 8,Contained by,被包含,#d97706
Stream 8,B,Contain,包含,#d97706
B,Stream 8,Contained by,被包含,#d97706
Stream 8,C,Contain,包含,#d97706
C,Stream 8,Contained by,被包含,#d97706
Stream 8,D,Contain,包含,#d97706
D,Stream 8,Contained by,被包含,#d97706
Stream 8,E,Contain,包含,#d97706
E,Stream 8,Contained by,被包含,#d97706
Stream 8,F,Contain,包含,#d97706
F,Stream 8,Contained by,被包含,#d97706
Stream 8,G,Contain,包含,#d97706
G,Stream 8,Contained by,被包含,#d97706
Stream 8,H,Contain,包含,#d97706
H,Stream 8,Contained by,被包含,#d97706
Stream 9,A,Contain,包含,#d97706
A,Stream 9,Contained by,被包含,#d97706
Stream 9,B,Contain,包含,#d97706
B,Stream 9,Contained by,被包含,#d97706
Stream 9,C,Contain,包含,#d97706
C,Stream 9,Contained by,被包含,#d97706
Stream 9,D,Contain,包含,#d97706
D,Stream 9,Contained by,被包含,#d97706
Stream 9,E,Contain,包含,#d97706
E,Stream 9,Contained by,被包含,#d97706
Stream 9,F,Contain,包含,#d97706
F,Stream 9,Contained by,被包含,#d97706
Stream 9,G,Contain,包含,#d97706
G,Stream 9,Contained by,被包含,#d97706
Stream 9,H,Contain,包含,#d97706
H,Stream 9,Contained by,被包含,#d97706
Stream 10,D,Contain,包含,#d97706
D,Stream 10,Contained by,被包含,#d97706
Stream 10,E,Contain,包含,#d97706
E,Stream 10,Contained by,被包含,#d97706
Stream 10,F,Contain,包含,#d97706
F,Stream 10,Contained by,被包含,#d97706
Stream 10,G,Contain,包含,#d97706
G,Stream 10,Contained by,被包含,#d97706
Stream 10,H,Contain,包含,#d97706
H,Stream 10,Contained by,被包含,#d97706
Stream 11,D,Contain,包含,#d97706
D,Stream 11,Contained by,被包含,#d97706
Stream 11,E,Contain,包含,#d97706
E,Stream 11,Contained by,被包含,#d97706
Stream 11,F,Contain,包含,#d97706
F,Stream 11,Contained by,被包含,#d97706
Stream 11,G,Contain,包含,#d97706
G,Stream 11,Contained by,被包含,#d97706
Stream 11,H,Contain,包含,#d97706
H,Stream 11,Contained by,被包含,#d97706
Stream 12,Cooling Water,Contain,包含,#d97706
Cooling Water,Stream 12,Contained by,被包含,#d97706
Stream 13,Cooling Water,Contain,包含,#d97706
Cooling Water,Stream 13,Contained by,被包含,#d97706
Stream 14,A,Contain,包含,#d97706
A,Stream 14,Contained by,被包含,#d97706
Stream 14,B,Contain,包含,#d97706
B,Stream 14,Contained by,被包含,#d97706
Stream 14,C,Contain,包含,#d97706
C,Stream 14,Contained by,被包含,#d97706
Stream 14,D,Contain,包含,#d97706
D,Stream 14,Contained by,被包含,#d97706
Stream 14,E,Contain,包含,#d97706
E,Stream 14,Contained by,被包含,#d97706
Stream 14,F,Contain,包含,#d97706
F,Stream 14,Contained by,被包含,#d97706
Stream 14,G,Contain,包含,#d97706
G,Stream 14,Contained by,被包含,#d97706
Stream 14,H,Contain,包含,#d97706
H,Stream 14,Contained by,被包含,#d97706
Stripper Steam,Steam,Contain,包含,#d97706
Steam,Stripper Steam,Contained by,被包含,#d97706
A,G,Generate,生成,#7c3aed
C,G,Generate,生成,#7c3aed
D,G,Generate,生成,#7c3aed
A,H,Generate,生成,#7c3aed
C,H,Generate,生成,#7c3aed
E,H,Generate,生成,#7c3aed
A,F,Generate,生成,#7c3aed
D,F,Generate,生成,#7c3aed
E,F,Generate,生成,#7c3aed
