head,relation,tail,edge_key,weight
E,Contained by,Stream 11,E|Contained by|Stream 11,0.106049068272
E,Contained by,Stream 14,E|Contained by|Stream 14,0.0464395098388
E,Contained by,Stream 3,E|Contained by|Stream 3,0.105837509036
E,Contained by,Stream 5,E|Contained by|Stream 5,0.0665645450354
E,Contained by,Stream 6,E|Contained by|Stream 6,0.1274215132
E,Contained by,Stream 7,E|Contained by|Stream 7,0.0921626612544
E,Contained by,Stream 8,E|Contained by|Stream 8,0.0431265495718
E,Contained by,Stream 9,E|Contained by|Stream 9,1.26376783848
E,Generate,F,E|Generate|F,0.0136103499681
E,Generate,H,E|Generate|H,0.0237393956631
E,State,x27,E|State|x27,0.295648187399
E,State,x33,E|State|x33,1.30337381363
E,State,x38,E|State|x38,1.78123486042
F,Contained by,Stream 10,F|Contained by|Stream 10,0.0289007443935
F,Contained by,Stream 11,F|Contained by|Stream 11,0.258546769619
F,Contained by,Stream 14,F|Contained by|Stream 14,0.03951581195
F,Contained by,Stream 5,F|Contained by|Stream 5,0.0384523831308
F,Contained by,Stream 6,F|Contained by|Stream 6,0.420392334461
F,Contained by,Stream 7,F|Contained by|Stream 7,0.14386728406
F,Contained by,Stream 8,F|Contained by|Stream 8,0.0290057957172
F,Contained by,Stream 9,F|Contained by|Stream 9,1.37066531181
F,State,x28,F|State|x28,0.18734523654
F,State,x34,F|State|x34,0.767598092556
F,State,x39,F|State|x39,1.85458254814
G,Contained by,Stream 10,G|Contained by|Stream 10,0.619543492794
G,Contained by,Stream 11,G|Contained by|Stream 11,0.0579783171415
G,Contained by,Stream 14,G|Contained by|Stream 14,0.0296751018614
G,Contained by,Stream 5,G|Contained by|Stream 5,0.0388038158417
G,Contained by,Stream 7,G|Contained by|Stream 7,0.0618465729058
G,Contained by,Stream 8,G|Contained by|Stream 8,1.37545692921
G,Contained by,Stream 9,G|Contained by|Stream 9,0.995414018631
G,State,x35,G|State|x35,1.87296807766
G,State,x40,G|State|x40,0.42337012291
H,Contained by,Stream 10,H|Contained by|Stream 10,0.13162919879
H,Contained by,Stream 11,H|Contained by|Stream 11,0.154876276851
H,Contained by,Stream 14,H|Contained by|Stream 14,0.039158180356
H,Contained by,Stream 5,H|Contained by|Stream 5,0.0592206455767
H,Contained by,Stream 7,H|Contained by|Stream 7,0.063407920301
H,Contained by,Stream 8,H|Contained by|Stream 8,0.234935969114
H,Contained by,Stream 9,H|Contained by|Stream 9,1.11181414127
H,State,x36,H|State|x36,0.526431560516
H,State,x41,H|State|x41,0.109425321221
Reactor,Output,Stream 7,Reactor|Output|Stream 7,0.958337068558
Reactor,State,x21,Reactor|State|x21,0.84888702631
Reactor,State,x51,Reactor|State|x51,0.309543818235
Reactor,State,x7,Reactor|State|x7,1.73247206211
Reactor,State,x8,Reactor|State|x8,0.101578995585
Reactor,State,x9,Reactor|State|x9,0.519811987877
Separator,Output,Stream 10,Separator|Output|Stream 10,1.19804346561
Separator,Output,Stream 8,Separator|Output|Stream 8,0.294570147991
Separator,Output,Stream 9,Separator|Output|Stream 9,0.453683495522
Separator,State,x11,Separator|State|x11,1.68581330776
Separator,State,x12,Separator|State|x12,0.179614335299
Separator,State,x13,Separator|State|x13,1.29592561722
Separator,State,x48,Separator|State|x48,1.0265237093
Steam,Contained by,Stripper Steam,Steam|Contained by|Stripper Steam,0.365283101797
Stream 10,Contain,D,Stream 10|Contain|D,0.576575875282
Stream 10,Contain,E,Stream 10|Contain|E,0.111533589661
Stream 10,Contain,F,Stream 10|Contain|F,0.0231354068965
Stream 10,Contain,G,Stream 10|Contain|G,1.84513497353
Stream 10,Contain,H,Stream 10|Contain|H,0.836893200874
Stream 10,Output,Stripper,Stream 10|Output|Stripper,0.102458283305
Stream 10,State,x14,Stream 10|State|x14,1.41145122051
Stream 10,State,x48,Stream 10|State|x48,0.451519727707
Stream 11,Contain,D,Stream 11|Contain|D,0.341750949621
Stream 11,Contain,E,Stream 11|Contain|E,0.963907122612
Stream 11,Contain,F,Stream 11|Contain|F,0.0566339455545
Stream 11,Contain,G,Stream 11|Contain|G,1.43542075157
Stream 11,Contain,H,Stream 11|Contain|H,0.207282304764
Stream 11,State,x17,Stream 11|State|x17,0.588001191616
Stream 11,State,x37,Stream 11|State|x37,0.617950499058
Stream 11,State,x38,Stream 11|State|x38,0.160701900721
Stream 11,State,x39,Stream 11|State|x39,0.227534428239
Stream 11,State,x40,Stream 11|State|x40,1.60915994644
Stream 11,State,x41,Stream 11|State|x41,1.47456789017
Stream 11,State,x49,Stream 11|State|x49,0.320248007774
Stream 12,Contain,Cooling Water,Stream 12|Contain|Cooling Water,0.728356301785
Stream 12,Output,Reactor,Stream 12|Output|Reactor,0.703022420406
Stream 12,State,x21,Stream 12|State|x21,0.841898858547
Stream 12,State,x51,Stream 12|State|x51,1.14758384228
Stream 13,Contain,Cooling Water,Stream 13|Contain|Cooling Water,0.106600560248
Stream 13,Output,Condenser,Stream 13|Output|Condenser,1.52676844597
Stream 13,State,x22,Stream 13|State|x22,0.2201923877
Stream 13,State,x52,Stream 13|State|x52,0.227765351534
Stream 14,Contain,A,Stream 14|Contain|A,0.265822678804
Stream 14,Contain,B,Stream 14|Contain|B,0.106576673687
Stream 14,Contain,C,Stream 14|Contain|C,0.202610760927
Stream 14,Contain,D,Stream 14|Contain|D,0.200954571366
Stream 14,Contain,E,Stream 14|Contain|E,0.510297834873
Stream 14,Contain,F,Stream 14|Contain|F,1.88334143162
Stream 14,Contain,G,Stream 14|Contain|G,0.106651745737
Stream 14,Contain,H,Stream 14|Contain|H,0.398998647928
Stream 14,Output,Separator,Stream 14|Output|Separator,1.76129686832
Stream 14,State,x11,Stream 14|State|x11,0.239756628871
Stream 1,Contain,A,Stream 1|Contain|A,0.491168379784
Stream 1,Output,Stream 6,Stream 1|Output|Stream 6,0.443415552378
Stream 1,State,x1,Stream 1|State|x1,1.42350757122
Stream 1,State,x44,Stream 1|State|x44,1.26350188255
Stream 2,Contain,D,Stream 2|Contain|D,1.06391119957
Stream 2,Output,Stream 6,Stream 2|Output|Stream 6,0.69979929924
Stream 2,State,x2,Stream 2|State|x2,0.675854444504
Stream 2,State,x42,Stream 2|State|x42,0.901283800602
Stream 3,Contain,E,Stream 3|Contain|E,0.661903560162
Stream 3,Output,Stream 6,Stream 3|Output|Stream 6,0.694913029671
Stream 3,State,x3,Stream 3|State|x3,0.651706159115
Stream 3,State,x43,Stream 3|State|x43,0.655334532261
Stream 4,Contain,A,Stream 4|Contain|A,0.819602131844
Stream 4,Contain,B,Stream 4|Contain|B,1.22730851173
Stream 4,Contain,C,Stream 4|Contain|C,0.849723339081
Stream 4,Output,Stripper,Stream 4|Output|Stripper,0.404618173838
Stream 4,State,x4,Stream 4|State|x4,0.893740594387
Stream 4,State,x45,Stream 4|State|x45,1.1324300766
Stream 5,Contain,A,Stream 5|Contain|A,0.0897261500359
Stream 5,Contain,B,Stream 5|Contain|B,0.572501659393
Stream 5,Contain,C,Stream 5|Contain|C,0.638345301151
Stream 5,Contain,D,Stream 5|Contain|D,0.200607419014
Stream 5,Contain,E,Stream 5|Contain|E,0.189264982939
Stream 5,Contain,F,Stream 5|Contain|F,0.12143804878
Stream 5,Contain,G,Stream 5|Contain|G,1.93825411797
Stream 5,Contain,H,Stream 5|Contain|H,0.262863278389
Stream 5,Output,Stream 6,Stream 5|Output|Stream 6,0.109438486397
Stream 6,Contain,A,Stream 6|Contain|A,1.18318963051
Stream 6,Contain,B,Stream 6|Contain|B,0.052737865597
Stream 6,Contain,C,Stream 6|Contain|C,0.0843886062503
Stream 6,Contain,D,Stream 6|Contain|D,0.0663071870804
Stream 6,Contain,E,Stream 6|Contain|E,0.67802798748
Stream 6,Contain,F,Stream 6|Contain|F,0.191033005714
Stream 6,Output,Reactor,Stream 6|Output|Reactor,0.14315289259
Stream 6,State,x23,Stream 6|State|x23,0.640939593315
Stream 6,State,x24,Stream 6|State|x24,0.200374305248
Stream 6,State,x25,Stream 6|State|x25,0.273372381926
Stream 6,State,x26,Stream 6|State|x26,0.421827048063
Stream 6,State,x27,Stream 6|State|x27,1.50896000862
Stream 6,State,x28,Stream 6|State|x28,0.634050488472
Stream 6,State,x6,Stream 6|State|x6,0.780278742313
Stream 7,Contain,A,Stream 7|Contain|A,0.129643261433
Stream 7,Contain,B,Stream 7|Contain|B,0.0875524654984
Stream 7,Contain,C,Stream 7|Contain|C,0.459883183241
Stream 7,Contain,D,Stream 7|Contain|D,0.207944840193
Stream 7,Contain,E,Stream 7|Contain|E,0.964417219162
Stream 7,Contain,F,Stream 7|Contain|F,0.246022462845
Stream 7,Contain,G,Stream 7|Contain|G,0.248544126749
Stream 7,Contain,H,Stream 7|Contain|H,0.794846594334
Stream 7,Output,Condenser,Stream 7|Output|Condenser,1.75556075573
Stream 8,Contain,A,Stream 8|Contain|A,0.294730067253
Stream 8,Contain,B,Stream 8|Contain|B,0.0985748618841
Stream 8,Contain,C,Stream 8|Contain|C,0.142542496324
Stream 8,Contain,D,Stream 8|Contain|D,0.0961296334863
Stream 8,Contain,E,Stream 8|Contain|E,1.35318124294
Stream 8,Contain,F,Stream 8|Contain|F,0.440820097923
Stream 8,Contain,G,Stream 8|Contain|G,0.0681431293488
Stream 8,Contain,H,Stream 8|Contain|H,0.147627040744
Stream 8,Output,Compressor,Stream 8|Output|Compressor,1.13372814655
Stream 8,Output,Stream 6,Stream 8|Output|Stream 6,0.30002656579
Stream 8,State,x46,Stream 8|State|x46,0.495585530996
Stream 8,State,x5,Stream 8|State|x5,1.22152614594
Stream 9,Contain,A,Stream 9|Contain|A,0.0755436420441
Stream 9,Contain,B,Stream 9|Contain|B,0.0487097129226
Stream 9,Contain,C,Stream 9|Contain|C,0.03860289976
Stream 9,Contain,D,Stream 9|Contain|D,0.0789054706693
Stream 9,Contain,E,Stream 9|Contain|E,1.45962834358
Stream 9,Contain,F,Stream 9|Contain|F,0.043594956398
Stream 9,Contain,G,Stream 9|Contain|G,0.104506090283
Stream 9,Contain,H,Stream 9|Contain|H,0.082495175302
Stream 9,State,x10,Stream 9|State|x10,0.955010533333
Stream 9,State,x29,Stream 9|State|x29,0.477864205837
Stream 9,State,x30,Stream 9|State|x30,1.10328197479
Stream 9,State,x31,Stream 9|State|x31,0.967420339584
Stream 9,State,x32,Stream 9|State|x32,0.382265269756
Stream 9,State,x33,Stream 9|State|x33,1.69757199287
Stream 9,State,x34,Stream 9|State|x34,0.881743431091
Stream 9,State,x35,Stream 9|State|x35,0.139170736074
Stream 9,State,x36,Stream 9|State|x36,1.15217959881
Stream 9,State,x47,Stream 9|State|x47,0.684810936451
Stripper Steam,Contain,Steam,Stripper Steam|Contain|Steam,0.365285515785
Stripper Steam,Output,Stripper,Stripper Steam|Output|Stripper,0.975493609905
Stripper Steam,State,x19,Stripper Steam|State|x19,0.197920799255
Stripper Steam,State,x50,Stripper Steam|State|x50,0.808619260788
Stripper,Output,Stream 11,Stripper|Output|Stream 11,0.45292326808
Stripper,Output,Stream 5,Stripper|Output|Stream 5,1.59529542923
Stripper,State,x15,Stripper|State|x15,0.416726261377
Stripper,State,x16,Stripper|State|x16,1.09274172783
Stripper,State,x18,Stripper|State|x18,0.172971978784
Stripper,State,x19,Stripper|State|x19,0.113769754767
Stripper,State,x49,Stripper|State|x49,0.253984361887
Stripper,State,x50,Stripper|State|x50,0.774661660194
x10::fall,State evidence of,x10,x10::fall|State evidence of|x10,1.13466322422
x10::high,State evidence of,x10,x10::high|State evidence of|x10,1.1252553463
x10::low,State evidence of,x10,x10::low|State evidence of|x10,0.929962515831
x10::rise,State evidence of,x10,x10::rise|State evidence of|x10,1.09694886208
x10,Has abnormal state,x10::fall,x10|Has abnormal state|x10::fall,1.16065084934
x10,Has abnormal state,x10::high,x10|Has abnormal state|x10::high,0.311829298735
x10,Has abnormal state,x10::low,x10|Has abnormal state|x10::low,1.36658120155
x10,Has abnormal state,x10::rise,x10|Has abnormal state|x10::rise,1.10400128365
x10,State of,Stream 9,x10|State of|Stream 9,0.708698749542
x11::fall,State evidence of,x11,x11::fall|State evidence of|x11,0.570895850658
x11::high,State evidence of,x11,x11::high|State evidence of|x11,1.55303347111
x11::low,State evidence of,x11,x11::low|State evidence of|x11,0.575532376766
x11::rise,State evidence of,x11,x11::rise|State evidence of|x11,1.0794672966
x11,Has abnormal state,x11::fall,x11|Has abnormal state|x11::fall,0.981032192707
x11,Has abnormal state,x11::high,x11|Has abnormal state|x11::high,1.36600005627
x11,Has abnormal state,x11::low,x11|Has abnormal state|x11::low,1.21910572052
x11,Has abnormal state,x11::rise,x11|Has abnormal state|x11::rise,0.624189376831
x11,State of,Separator,x11|State of|Separator,0.0381513386965
x11,State of,Stream 14,x11|State of|Stream 14,1.03248941898
x12::fall,State evidence of,x12,x12::fall|State evidence of|x12,1.01381707191
x12::high,State evidence of,x12,x12::high|State evidence of|x12,1.00822424889
x12::low,State evidence of,x12,x12::low|State evidence of|x12,0.999359548092
x12::rise,State evidence of,x12,x12::rise|State evidence of|x12,1.01100432873
x12,Has abnormal state,x12::fall,x12|Has abnormal state|x12::fall,1.06169462204
x12,Has abnormal state,x12::high,x12|Has abnormal state|x12::high,0.881669580936
x12,Has abnormal state,x12::low,x12|Has abnormal state|x12::low,0.919713079929
x12,Has abnormal state,x12::rise,x12|Has abnormal state|x12::rise,1.01449668407
x12,State of,Separator,x12|State of|Separator,0.70031785965
x13::fall,State evidence of,x13,x13::fall|State evidence of|x13,0.867858350277
x13::high,State evidence of,x13,x13::high|State evidence of|x13,0.668904900551
x13::low,State evidence of,x13,x13::low|State evidence of|x13,0.406103461981
x13::rise,State evidence of,x13,x13::rise|State evidence of|x13,0.521030366421
x13,Has abnormal state,x13::fall,x13|Has abnormal state|x13::fall,0.154283255339
x13,Has abnormal state,x13::high,x13|Has abnormal state|x13::high,0.597448170185
x13,Has abnormal state,x13::low,x13|Has abnormal state|x13::low,1.55763947964
x13,Has abnormal state,x13::rise,x13|Has abnormal state|x13::rise,1.60729920864
x13,State of,Separator,x13|State of|Separator,0.142590194941
x14::fall,State evidence of,x14,x14::fall|State evidence of|x14,1.37055873871
x14::high,State evidence of,x14,x14::high|State evidence of|x14,1.36729323864
x14::low,State evidence of,x14,x14::low|State evidence of|x14,1.31909620762
x14::rise,State evidence of,x14,x14::rise|State evidence of|x14,1.36367285252
x14,Has abnormal state,x14::fall,x14|Has abnormal state|x14::fall,1.60887777805
x14,Has abnormal state,x14::high,x14|Has abnormal state|x14::high,1.35579240322
x14,Has abnormal state,x14::low,x14|Has abnormal state|x14::low,1.13989138603
x14,Has abnormal state,x14::rise,x14|Has abnormal state|x14::rise,1.32508969307
x14,State of,Stream 10,x14|State of|Stream 10,0.927885890007
x15::fall,State evidence of,x15,x15::fall|State evidence of|x15,0.989429414272
x15::high,State evidence of,x15,x15::high|State evidence of|x15,1.03460657597
x15::low,State evidence of,x15,x15::low|State evidence of|x15,0.994110167027
x15::rise,State evidence of,x15,x15::rise|State evidence of|x15,0.99160951376
x15,Has abnormal state,x15::fall,x15|Has abnormal state|x15::fall,0.771117210388
x15,Has abnormal state,x15::high,x15|Has abnormal state|x15::high,1.2854309082
x15,Has abnormal state,x15::low,x15|Has abnormal state|x15::low,0.58124423027
x15,Has abnormal state,x15::rise,x15|Has abnormal state|x15::rise,0.809477388859
x15,State of,Stripper,x15|State of|Stripper,0.629533290863
x16::fall,State evidence of,x16,x16::fall|State evidence of|x16,1.05668056011
x16::high,State evidence of,x16,x16::high|State evidence of|x16,1.69087982178
x16::low,State evidence of,x16,x16::low|State evidence of|x16,0.0967184379697
x16::rise,State evidence of,x16,x16::rise|State evidence of|x16,1.6941896677
x16,Has abnormal state,x16::fall,x16|Has abnormal state|x16::fall,0.215464398265
x16,Has abnormal state,x16::high,x16|Has abnormal state|x16::high,0.292246222496
x16,Has abnormal state,x16::low,x16|Has abnormal state|x16::low,1.89331400394
x16,Has abnormal state,x16::rise,x16|Has abnormal state|x16::rise,1.21382343769
x16,State of,Stripper,x16|State of|Stripper,0.371257424355
x17::fall,State evidence of,x17,x17::fall|State evidence of|x17,0.992968261242
x17::high,State evidence of,x17,x17::high|State evidence of|x17,0.999831080437
x17::low,State evidence of,x17,x17::low|State evidence of|x17,0.9873457551
x17::rise,State evidence of,x17,x17::rise|State evidence of|x17,0.991047084332
x17,Has abnormal state,x17::fall,x17|Has abnormal state|x17::fall,0.844105482101
x17,Has abnormal state,x17::high,x17|Has abnormal state|x17::high,0.068179294467
x17,Has abnormal state,x17::low,x17|Has abnormal state|x17::low,1.361774683
x17,Has abnormal state,x17::rise,x17|Has abnormal state|x17::rise,0.993858158588
x17,State of,Stream 11,x17|State of|Stream 11,0.707059264183
x18::fall,State evidence of,x18,x18::fall|State evidence of|x18,1.0506465435
x18::high,State evidence of,x18,x18::high|State evidence of|x18,1.4165443182
x18::low,State evidence of,x18,x18::low|State evidence of|x18,1.04788649082
x18::rise,State evidence of,x18,x18::rise|State evidence of|x18,1.27916824818
x18,Has abnormal state,x18::fall,x18|Has abnormal state|x18::fall,1.10679852962
x18,Has abnormal state,x18::high,x18|Has abnormal state|x18::high,1.01569736004
x18,Has abnormal state,x18::low,x18|Has abnormal state|x18::low,0.324015110731
x18,Has abnormal state,x18::rise,x18|Has abnormal state|x18::rise,1.38184463978
x18,State of,Stripper,x18|State of|Stripper,0.329224467278
x19::fall,State evidence of,x19,x19::fall|State evidence of|x19,1.44985044003
x19::high,State evidence of,x19,x19::high|State evidence of|x19,0.788968503475
x19::low,State evidence of,x19,x19::low|State evidence of|x19,1.41639280319
x19::rise,State evidence of,x19,x19::rise|State evidence of|x19,0.525411188602
x19,Has abnormal state,x19::fall,x19|Has abnormal state|x19::fall,1.23087954521
x19,Has abnormal state,x19::high,x19|Has abnormal state|x19::high,0.21021951735
x19,Has abnormal state,x19::low,x19|Has abnormal state|x19::low,0.131750330329
x19,Has abnormal state,x19::rise,x19|Has abnormal state|x19::rise,1.09090483189
x19,State of,Stripper,x19|State of|Stripper,0.473044931889
x19,State of,Stripper Steam,x19|State of|Stripper Steam,0.440760463476
x1::fall,State evidence of,x1,x1::fall|State evidence of|x1,1.00217032433
x1::high,State evidence of,x1,x1::high|State evidence of|x1,1.02596008778
x1::low,State evidence of,x1,x1::low|State evidence of|x1,0.790604650974
x1::rise,State evidence of,x1,x1::rise|State evidence of|x1,1.00447452068
x1,Has abnormal state,x1::fall,x1|Has abnormal state|x1::fall,0.574452877045
x1,Has abnormal state,x1::high,x1|Has abnormal state|x1::high,0.608007609844
x1,Has abnormal state,x1::low,x1|Has abnormal state|x1::low,0.706125438213
x1,Has abnormal state,x1::rise,x1|Has abnormal state|x1::rise,0.566664338112
x1,State of,Stream 1,x1|State of|Stream 1,1.19731831551
x20::fall,State evidence of,x20,x20::fall|State evidence of|x20,1.15087389946
x20::high,State evidence of,x20,x20::high|State evidence of|x20,0.96570456028
x20::low,State evidence of,x20,x20::low|State evidence of|x20,1.14583981037
x20::rise,State evidence of,x20,x20::rise|State evidence of|x20,0.910730183125
x20,Has abnormal state,x20::fall,x20|Has abnormal state|x20::fall,1.47307622433
x20,Has abnormal state,x20::high,x20|Has abnormal state|x20::high,1.31279873848
x20,Has abnormal state,x20::low,x20|Has abnormal state|x20::low,0.788920402527
x20,Has abnormal state,x20::rise,x20|Has abnormal state|x20::rise,1.18111884594
x20,State of,Compressor,x20|State of|Compressor,0.418617099524
x21::fall,State evidence of,x21,x21::fall|State evidence of|x21,0.374331355095
x21::high,State evidence of,x21,x21::high|State evidence of|x21,0.719265222549
x21::low,State evidence of,x21,x21::low|State evidence of|x21,0.361885219812
x21::rise,State evidence of,x21,x21::rise|State evidence of|x21,0.379672080278
x21,Has abnormal state,x21::fall,x21|Has abnormal state|x21::fall,0.601556181908
x21,Has abnormal state,x21::high,x21|Has abnormal state|x21::high,0.541059613228
x21,Has abnormal state,x21::low,x21|Has abnormal state|x21::low,1.73888456821
x21,Has abnormal state,x21::rise,x21|Has abnormal state|x21::rise,0.565893411636
x21,State of,Reactor,x21|State of|Reactor,1.38112318516
x21,State of,Stream 12,x21|State of|Stream 12,0.954500973225
x22::fall,State evidence of,x22,x22::fall|State evidence of|x22,0.443367451429
x22::high,State evidence of,x22,x22::high|State evidence of|x22,0.107783824205
x22::low,State evidence of,x22,x22::low|State evidence of|x22,1.11174798012
x22::rise,State evidence of,x22,x22::rise|State evidence of|x22,0.389878571033
x22,Has abnormal state,x22::fall,x22|Has abnormal state|x22::fall,0.379800081253
x22,Has abnormal state,x22::high,x22|Has abnormal state|x22::high,1.79287600517
x22,Has abnormal state,x22::low,x22|Has abnormal state|x22::low,0.409564256668
x22,Has abnormal state,x22::rise,x22|Has abnormal state|x22::rise,0.412746548653
x22,State of,Condenser,x22|State of|Condenser,1.21568059921
x22,State of,Stream 13,x22|State of|Stream 13,0.678826272488
x23::fall,State evidence of,x23,x23::fall|State evidence of|x23,0.773578643799
x23::high,State evidence of,x23,x23::high|State evidence of|x23,0.803933560848
x23::low,State evidence of,x23,x23::low|State evidence of|x23,0.535564124584
x23::rise,State evidence of,x23,x23::rise|State evidence of|x23,0.897619485855
x23,Has abnormal state,x23::fall,x23|Has abnormal state|x23::fall,0.65264236927
x23,Has abnormal state,x23::high,x23|Has abnormal state|x23::high,0.703993856907
x23,Has abnormal state,x23::low,x23|Has abnormal state|x23::low,1.87225091457
x23,Has abnormal state,x23::rise,x23|Has abnormal state|x23::rise,0.536281943321
x23,State of,A,x23|State of|A,0.46677133441
x23,State of,Stream 6,x23|State of|Stream 6,1.54642057419
x24::fall,State evidence of,x24,x24::fall|State evidence of|x24,0.599690437317
x24::high,State evidence of,x24,x24::high|State evidence of|x24,0.620260357857
x24::low,State evidence of,x24,x24::low|State evidence of|x24,0.831792891026
x24::rise,State evidence of,x24,x24::rise|State evidence of|x24,0.529243409634
x24,Has abnormal state,x24::fall,x24|Has abnormal state|x24::fall,0.831841528416
x24,Has abnormal state,x24::high,x24|Has abnormal state|x24::high,1.84398424625
x24,Has abnormal state,x24::low,x24|Has abnormal state|x24::low,0.166753590107
x24,Has abnormal state,x24::rise,x24|Has abnormal state|x24::rise,1.08652746677
x24,State of,B,x24|State of|B,0.750191628933
x24,State of,Stream 6,x24|State of|Stream 6,1.66437149048
x25::fall,State evidence of,x25,x25::fall|State evidence of|x25,0.388931691647
x25::high,State evidence of,x25,x25::high|State evidence of|x25,0.20581330359
x25::low,State evidence of,x25,x25::low|State evidence of|x25,0.479786038399
x25::rise,State evidence of,x25,x25::rise|State evidence of|x25,0.276833444834
x25,Has abnormal state,x25::fall,x25|Has abnormal state|x25::fall,0.390910059214
x25,Has abnormal state,x25::high,x25|Has abnormal state|x25::high,1.5013961792
x25,Has abnormal state,x25::low,x25|Has abnormal state|x25::low,0.762767314911
x25,Has abnormal state,x25::rise,x25|Has abnormal state|x25::rise,0.771433472633
x25,State of,C,x25|State of|C,1.26939284801
x25,State of,Stream 6,x25|State of|Stream 6,1.02400529385
x26::fall,State evidence of,x26,x26::fall|State evidence of|x26,0.991159856319
x26::high,State evidence of,x26,x26::high|State evidence of|x26,1.00731050968
x26::low,State evidence of,x26,x26::low|State evidence of|x26,0.99480175972
x26::rise,State evidence of,x26,x26::rise|State evidence of|x26,0.990981161594
x26,Has abnormal state,x26::fall,x26|Has abnormal state|x26::fall,1.03435385227
x26,Has abnormal state,x26::high,x26|Has abnormal state|x26::high,1.66194832325
x26,Has abnormal state,x26::low,x26|Has abnormal state|x26::low,0.543310284615
x26,Has abnormal state,x26::rise,x26|Has abnormal state|x26::rise,0.996537089348
x26,State of,D,x26|State of|D,0.551001608372
x26,State of,Stream 6,x26|State of|Stream 6,0.180469855666
x27::fall,State evidence of,x27,x27::fall|State evidence of|x27,0.996829092503
x27::high,State evidence of,x27,x27::high|State evidence of|x27,1.05670213699
x27::low,State evidence of,x27,x27::low|State evidence of|x27,0.458965092897
x27::rise,State evidence of,x27,x27::rise|State evidence of|x27,0.979605615139
x27,Has abnormal state,x27::fall,x27|Has abnormal state|x27::fall,0.744136035442
x27,Has abnormal state,x27::high,x27|Has abnormal state|x27::high,0.0818366706371
x27,Has abnormal state,x27::low,x27|Has abnormal state|x27::low,1.85380268097
x27,Has abnormal state,x27::rise,x27|Has abnormal state|x27::rise,0.677876710892
x27,State of,E,x27|State of|E,1.78437650204
