head,relation,tail,edge_key,weight
D,Contained by,Stream 9,D|Contained by|Stream 9,0.638194441795
D,Generate,F,D|Generate|F,0.0449482128024
D,Generate,G,D|Generate|G,0.99413895607
D,State,x26,D|State|x26,0.479977875948
D,State,x32,D|State|x32,0.538668334484
D,State,x37,D|State|x37,0.617833077908
E,Contained by,Stream 10,E|Contained by|Stream 10,0.181208506227
E,Contained by,Stream 11,E|Contained by|Stream 11,0.971041738987
E,Contained by,Stream 14,E|Contained by|Stream 14,0.227260008454
E,Contained by,Stream 3,E|Contained by|Stream 3,0.177075758576
E,Contained by,Stream 5,E|Contained by|Stream 5,0.0810158625245
E,Contained by,Stream 6,E|Contained by|Stream 6,0.636305987835
E,Contained by,Stream 7,E|Contained by|Stream 7,0.0566080287099
E,Contained by,Stream 8,E|Contained by|Stream 8,0.0778781622648
E,Contained by,Stream 9,E|Contained by|Stream 9,1.09837448597
E,Generate,F,E|Generate|F,0.0336427763104
E,Generate,H,E|Generate|H,0.0196259710938
E,State,x27,E|State|x27,0.722257018089
E,State,x33,E|State|x33,0.791210889816
E,State,x38,E|State|x38,1.54520058632
F,Contained by,Stream 10,F|Contained by|Stream 10,0.0625973418355
F,Contained by,Stream 11,F|Contained by|Stream 11,0.773037135601
F,Contained by,Stream 14,F|Contained by|Stream 14,0.0979374498129
F,Contained by,Stream 5,F|Contained by|Stream 5,0.128435060382
F,Contained by,Stream 6,F|Contained by|Stream 6,1.41783905029
F,Contained by,Stream 7,F|Contained by|Stream 7,0.015875056386
F,Contained by,Stream 8,F|Contained by|Stream 8,0.044074960053
F,Contained by,Stream 9,F|Contained by|Stream 9,0.749275863171
F,State,x28,F|State|x28,0.541857838631
F,State,x34,F|State|x34,0.5439234972
F,State,x39,F|State|x39,1.23913276196
G,Contained by,Stream 10,G|Contained by|Stream 10,1.8865852356
G,Contained by,Stream 11,G|Contained by|Stream 11,0.419068992138
G,Contained by,Stream 14,G|Contained by|Stream 14,0.0352971740067
G,Contained by,Stream 5,G|Contained by|Stream 5,0.279082834721
G,Contained by,Stream 7,G|Contained by|Stream 7,0.0841042920947
G,Contained by,Stream 8,G|Contained by|Stream 8,1.05433905125
G,Contained by,Stream 9,G|Contained by|Stream 9,0.595729649067
G,State,x35,G|State|x35,1.78478121758
G,State,x40,G|State|x40,0.357513219118
H,Contained by,Stream 10,H|Contained by|Stream 10,0.862995326519
H,Contained by,Stream 11,H|Contained by|Stream 11,1.68647301197
H,Contained by,Stream 14,H|Contained by|Stream 14,0.264335185289
H,Contained by,Stream 5,H|Contained by|Stream 5,0.0629901364446
H,Contained by,Stream 7,H|Contained by|Stream 7,0.0936569198966
H,Contained by,Stream 8,H|Contained by|Stream 8,0.179521992803
H,Contained by,Stream 9,H|Contained by|Stream 9,0.733898639679
H,State,x36,H|State|x36,0.641951560974
H,State,x41,H|State|x41,0.728321671486
Reactor,Output,Stream 7,Reactor|Output|Stream 7,1.38306128979
Reactor,State,x21,Reactor|State|x21,0.935600399971
Reactor,State,x51,Reactor|State|x51,0.958037853241
Reactor,State,x7,Reactor|State|x7,1.52147912979
Reactor,State,x8,Reactor|State|x8,0.133116260171
Reactor,State,x9,Reactor|State|x9,0.450402230024
Separator,Output,Stream 10,Separator|Output|Stream 10,1.39694213867
Separator,Output,Stream 8,Separator|Output|Stream 8,1.17310237885
Separator,Output,Stream 9,Separator|Output|Stream 9,0.475460678339
Separator,State,x11,Separator|State|x11,1.85663986206
Separator,State,x12,Separator|State|x12,0.887894809246
Separator,State,x13,Separator|State|x13,0.884630978107
Separator,State,x48,Separator|State|x48,0.702021360397
Steam,Contained by,Stripper Steam,Steam|Contained by|Stripper Steam,0.513735949993
Stream 10,Contain,D,Stream 10|Contain|D,1.74833750725
Stream 10,Contain,E,Stream 10|Contain|E,0.281080633402
Stream 10,Contain,F,Stream 10|Contain|F,0.0366896018386
Stream 10,Contain,G,Stream 10|Contain|G,1.33860146999
Stream 10,Contain,H,Stream 10|Contain|H,0.516489505768
Stream 10,Output,Stripper,Stream 10|Output|Stripper,0.691706359386
Stream 10,State,x14,Stream 10|State|x14,0.350296586752
Stream 10,State,x48,Stream 10|State|x48,1.45651495457
Stream 11,Contain,D,Stream 11|Contain|D,1.0101634264
Stream 11,Contain,E,Stream 11|Contain|E,0.307546764612
Stream 11,Contain,F,Stream 11|Contain|F,0.0830083712935
Stream 11,Contain,G,Stream 11|Contain|G,0.986038267612
Stream 11,Contain,H,Stream 11|Contain|H,0.242994293571
Stream 11,State,x17,Stream 11|State|x17,1.25853145123
Stream 11,State,x37,Stream 11|State|x37,1.62937521935
Stream 11,State,x38,Stream 11|State|x38,0.811867654324
Stream 11,State,x39,Stream 11|State|x39,0.0681928992271
Stream 11,State,x40,Stream 11|State|x40,0.240809202194
Stream 11,State,x41,Stream 11|State|x41,0.439437747002
Stream 11,State,x49,Stream 11|State|x49,0.328489869833
Stream 12,Contain,Cooling Water,Stream 12|Contain|Cooling Water,0.653697609901
Stream 12,Output,Reactor,Stream 12|Output|Reactor,0.257896840572
Stream 12,State,x21,Stream 12|State|x21,0.800768792629
Stream 12,State,x51,Stream 12|State|x51,1.23537194729
Stream 13,Contain,Cooling Water,Stream 13|Contain|Cooling Water,0.230256170034
Stream 13,Output,Condenser,Stream 13|Output|Condenser,1.30643594265
Stream 13,State,x22,Stream 13|State|x22,0.33975699544
Stream 13,State,x52,Stream 13|State|x52,0.486560970545
Stream 14,Contain,A,Stream 14|Contain|A,0.96212875843
Stream 14,Contain,B,Stream 14|Contain|B,0.275112569332
Stream 14,Contain,C,Stream 14|Contain|C,0.254093468189
Stream 14,Contain,D,Stream 14|Contain|D,0.224052935839
Stream 14,Contain,E,Stream 14|Contain|E,1.52107918262
Stream 14,Contain,F,Stream 14|Contain|F,1.34497845173
Stream 14,Contain,G,Stream 14|Contain|G,0.0552728697658
Stream 14,Contain,H,Stream 14|Contain|H,0.918528676033
Stream 14,Output,Separator,Stream 14|Output|Separator,1.46383690834
Stream 14,State,x11,Stream 14|State|x11,0.146303281188
Stream 1,Contain,A,Stream 1|Contain|A,0.539208948612
Stream 1,Output,Stream 6,Stream 1|Output|Stream 6,0.603053152561
Stream 1,State,x1,Stream 1|State|x1,1.14070343971
Stream 1,State,x44,Stream 1|State|x44,1.13140666485
Stream 2,Contain,D,Stream 2|Contain|D,0.808120369911
Stream 2,Output,Stream 6,Stream 2|Output|Stream 6,0.533926784992
Stream 2,State,x2,Stream 2|State|x2,0.183547973633
Stream 2,State,x42,Stream 2|State|x42,0.407560288906
Stream 3,Contain,E,Stream 3|Contain|E,0.82329428196
Stream 3,Output,Stream 6,Stream 3|Output|Stream 6,0.71493947506
Stream 3,State,x3,Stream 3|State|x3,0.520446121693
Stream 3,State,x43,Stream 3|State|x43,0.598568618298
Stream 4,Contain,A,Stream 4|Contain|A,0.667101621628
Stream 4,Contain,B,Stream 4|Contain|B,0.45438888669
Stream 4,Contain,C,Stream 4|Contain|C,1.04184806347
Stream 4,Output,Stripper,Stream 4|Output|Stripper,0.519036531448
Stream 4,State,x4,Stream 4|State|x4,1.11273789406
Stream 4,State,x45,Stream 4|State|x45,1.05098557472
Stream 5,Contain,A,Stream 5|Contain|A,0.577296257019
Stream 5,Contain,B,Stream 5|Contain|B,0.312293946743
Stream 5,Contain,C,Stream 5|Contain|C,0.281790912151
Stream 5,Contain,D,Stream 5|Contain|D,1.62534630299
Stream 5,Contain,E,Stream 5|Contain|E,0.073282673955
Stream 5,Contain,F,Stream 5|Contain|F,0.52707195282
Stream 5,Contain,G,Stream 5|Contain|G,1.43645179272
Stream 5,Contain,H,Stream 5|Contain|H,0.177544891834
Stream 5,Output,Stream 6,Stream 5|Output|Stream 6,1.50727939606
Stream 6,Contain,A,Stream 6|Contain|A,0.256704866886
Stream 6,Contain,B,Stream 6|Contain|B,0.212413698435
Stream 6,Contain,C,Stream 6|Contain|C,0.338285118341
Stream 6,Contain,D,Stream 6|Contain|D,0.0580851510167
Stream 6,Contain,E,Stream 6|Contain|E,0.089591100812
Stream 6,Contain,F,Stream 6|Contain|F,0.0373889021575
Stream 6,Output,Reactor,Stream 6|Output|Reactor,0.180034980178
Stream 6,State,x23,Stream 6|State|x23,0.931861102581
Stream 6,State,x24,Stream 6|State|x24,0.52008998394
Stream 6,State,x25,Stream 6|State|x25,1.13905668259
Stream 6,State,x26,Stream 6|State|x26,0.702212631702
Stream 6,State,x27,Stream 6|State|x27,1.49767422676
Stream 6,State,x28,Stream 6|State|x28,0.895942568779
Stream 6,State,x6,Stream 6|State|x6,1.62848305702
Stream 7,Contain,A,Stream 7|Contain|A,0.0980180129409
Stream 7,Contain,B,Stream 7|Contain|B,1.14989066124
Stream 7,Contain,C,Stream 7|Contain|C,0.170709267259
Stream 7,Contain,D,Stream 7|Contain|D,0.682653009892
Stream 7,Contain,E,Stream 7|Contain|E,1.63579165936
Stream 7,Contain,F,Stream 7|Contain|F,0.304210692644
Stream 7,Contain,G,Stream 7|Contain|G,0.183733761311
Stream 7,Contain,H,Stream 7|Contain|H,1.74854302406
Stream 7,Output,Condenser,Stream 7|Output|Condenser,0.31884676218
Stream 8,Contain,A,Stream 8|Contain|A,0.736003577709
Stream 8,Contain,B,Stream 8|Contain|B,0.0320392884314
Stream 8,Contain,C,Stream 8|Contain|C,0.37755253911
Stream 8,Contain,D,Stream 8|Contain|D,0.0831138044596
Stream 8,Contain,E,Stream 8|Contain|E,0.10843758285
Stream 8,Contain,F,Stream 8|Contain|F,1.27410984039
Stream 8,Contain,G,Stream 8|Contain|G,0.065651319921
Stream 8,Contain,H,Stream 8|Contain|H,0.0262916628271
Stream 8,Output,Compressor,Stream 8|Output|Compressor,0.822468698025
Stream 8,Output,Stream 6,Stream 8|Output|Stream 6,0.858920395374
Stream 8,State,x46,Stream 8|State|x46,0.837719678879
Stream 8,State,x5,Stream 8|State|x5,0.464149028063
Stream 9,Contain,A,Stream 9|Contain|A,0.0629794746637
Stream 9,Contain,B,Stream 9|Contain|B,0.0466218590736
Stream 9,Contain,C,Stream 9|Contain|C,0.112675778568
Stream 9,Contain,D,Stream 9|Contain|D,0.249033033848
Stream 9,Contain,E,Stream 9|Contain|E,0.0428227372468
Stream 9,Contain,F,Stream 9|Contain|F,0.0617964565754
Stream 9,Contain,G,Stream 9|Contain|G,1.75783419609
Stream 9,Contain,H,Stream 9|Contain|H,0.148075714707
Stream 9,State,x10,Stream 9|State|x10,0.758014440536
Stream 9,State,x29,Stream 9|State|x29,0.701621413231
Stream 9,State,x30,Stream 9|State|x30,1.47939348221
Stream 9,State,x31,Stream 9|State|x31,1.58751177788
Stream 9,State,x32,Stream 9|State|x32,0.45619314909
Stream 9,State,x33,Stream 9|State|x33,0.493736565113
Stream 9,State,x34,Stream 9|State|x34,1.18027353287
Stream 9,State,x35,Stream 9|State|x35,0.918692290783
Stream 9,State,x36,Stream 9|State|x36,0.383673280478
Stream 9,State,x47,Stream 9|State|x47,0.639774501324
Stripper Steam,Contain,Steam,Stripper Steam|Contain|Steam,0.513735353947
Stripper Steam,Output,Stripper,Stripper Steam|Output|Stripper,0.678342998028
Stripper Steam,State,x19,Stripper Steam|State|x19,0.960294425488
Stripper Steam,State,x50,Stripper Steam|State|x50,0.441363930702
Stripper,Output,Stream 11,Stripper|Output|Stream 11,0.447077393532
Stripper,Output,Stream 5,Stripper|Output|Stream 5,1.50506424904
Stripper,State,x15,Stripper|State|x15,0.691596269608
Stripper,State,x16,Stripper|State|x16,0.246094480157
Stripper,State,x18,Stripper|State|x18,0.180338263512
Stripper,State,x19,Stripper|State|x19,0.526804506779
Stripper,State,x49,Stripper|State|x49,0.381639003754
Stripper,State,x50,Stripper|State|x50,0.658989548683
x10,State of,Stream 9,x10|State of|Stream 9,1.01974976063
x11,State of,Separator,x11|State of|Separator,1.14286291599
x11,State of,Stream 14,x11|State of|Stream 14,0.850749671459
x12,State of,Separator,x12|State of|Separator,1.7003017664
x13,State of,Separator,x13|State of|Separator,1.70567762852
x14,State of,Stream 10,x14|State of|Stream 10,1.09399342537
x15,State of,Stripper,x15|State of|Stripper,0.49713280797
x16,State of,Stripper,x16|State of|Stripper,0.726391255856
x17,State of,Stream 11,x17|State of|Stream 11,0.497640162706
x18,State of,Stripper,x18|State of|Stripper,0.988831758499
x19,State of,Stripper,x19|State of|Stripper,0.297888547182
x19,State of,Stripper Steam,x19|State of|Stripper Steam,0.820546150208
x1,State of,Stream 1,x1|State of|Stream 1,0.962218880653
x20,State of,Compressor,x20|State of|Compressor,0.917421758175
x21,State of,Reactor,x21|State of|Reactor,1.39883875847
x21,State of,Stream 12,x21|State of|Stream 12,0.491828769445
x22,State of,Condenser,x22|State of|Condenser,1.11909413338
x22,State of,Stream 13,x22|State of|Stream 13,0.673075795174
x23,State of,A,x23|State of|A,0.966015160084
x23,State of,Stream 6,x23|State of|Stream 6,0.391603380442
x24,State of,B,x24|State of|B,1.06411528587
x24,State of,Stream 6,x24|State of|Stream 6,0.223469853401
x25,State of,C,x25|State of|C,1.22217226028
x25,State of,Stream 6,x25|State of|Stream 6,0.6409766078
x26,State of,D,x26|State of|D,0.374134004116
x26,State of,Stream 6,x26|State of|Stream 6,0.133116424084
x27,State of,E,x27|State of|E,1.42859780788
x27,State of,Stream 6,x27|State of|Stream 6,0.755795955658
x28,State of,F,x28|State of|F,0.269443154335
x28,State of,Stream 6,x28|State of|Stream 6,0.401105642319
x29,State of,A,x29|State of|A,0.678089082241
x29,State of,Stream 9,x29|State of|Stream 9,0.636402547359
x2,State of,Stream 2,x2|State of|Stream 2,0.538912713528
x30,State of,B,x30|State of|B,0.650650441647
x30,State of,Stream 9,x30|State of|Stream 9,0.494239598513
x31,State of,C,x31|State of|C,0.797349631786
x31,State of,Stream 9,x31|State of|Stream 9,0.647670805454
x32,State of,D,x32|State of|D,0.315693855286
x32,State of,Stream 9,x32|State of|Stream 9,1.1443862915
x33,State of,E,x33|State of|E,0.174314051867
x33,State of,Stream 9,x33|State of|Stream 9,0.734606742859
x34,State of,F,x34|State of|F,0.660745203495
x34,State of,Stream 9,x34|State of|Stream 9,1.04554617405
x35,State of,G,x35|State of|G,1.73748898506
x35,State of,Stream 9,x35|State of|Stream 9,0.43100592494
x36,State of,H,x36|State of|H,0.697341144085
x36,State of,Stream 9,x36|State of|Stream 9,0.654695570469
x37,State of,D,x37|State of|D,0.181803554296
x37,State of,Stream 11,x37|State of|Stream 11,0.459338158369
x38,State of,E,x38|State of|E,0.475915580988
x38,State of,Stream 11,x38|State of|Stream 11,0.298690617085
x39,State of,F,x39|State of|F,0.808614313602
x39,State of,Stream 11,x39|State of|Stream 11,0.138001337647
x3,State of,Stream 3,x3|State of|Stream 3,0.735803186893
x40,State of,G,x40|State of|G,1.38926827908
x40,State of,Stream 11,x40|State of|Stream 11,0.786353290081
x41,State of,H,x41|State of|H,0.55274450779
x41,State of,Stream 11,x41|State of|Stream 11,0.727377414703
x42,State of,Stream 2,x42|State of|Stream 2,0.654601812363
x43,State of,Stream 3,x43|State of|Stream 3,0.712416529655
x44,State of,Stream 1,x44|State of|Stream 1,0.964276075363
x45,State of,Stream 4,x45|State of|Stream 4,1.23146569729
x46,State of,Compressor,x46|State of|Compressor,0.655052661896
x46,State of,Stream 8,x46|State of|Stream 8,0.118867635727
x47,State of,Stream 9,x47|State of|Stream 9,1.00872254372
x48,State of,Separator,x48|State of|Separator,1.56560409069
x48,State of,Stream 10,x48|State of|Stream 10,0.648314416409
x49,State of,Stream 11,x49|State of|Stream 11,0.198618263006
x49,State of,Stripper,x49|State of|Stripper,0.814825475216
x4,State of,Stream 4,x4|State of|Stream 4,1.34064340591
x50,State of,Stripper,x50|State of|Stripper,0.365161925554
x50,State of,Stripper Steam,x50|State of|Stripper Steam,0.519423663616
x51,State of,Reactor,x51|State of|Reactor,1.12184739113
x51,State of,Stream 12,x51|State of|Stream 12,1.2040553093
x52,State of,Condenser,x52|State of|Condenser,1.40222895145
x52,State of,Stream 13,x52|State of|Stream 13,0.677151501179
x5,State of,Stream 8,x5|State of|Stream 8,1.50046873093
x6,State of,Stream 6,x6|State of|Stream 6,0.905984044075
x7,State of,Reactor,x7|State of|Reactor,1.39864182472
x8,State of,Reactor,x8|State of|Reactor,1.2989512682
x9,State of,Reactor,x9|State of|Reactor,1.40024995804
